company,market_cap,country,region,subindustry,score_2020,commitment_and_governance_score,traceability_and_risk_assessment_score,purchasing_practices_score,recruitment_score,worker_voice_score,monitoring_score,remedy_score
Tesco plc, 29 ,United Kingdom,Europe,Food Retail,65,90,69,42,66,67,70,50
Unilever plc, 221 ,United Kingdom,Europe,Packaged Foods,60,91,69,48,60,50,55,50
Nestlé SA, 270 ,Switzerland,Europe,Packaged Foods,55,77,88,23,68,37,65,31
Kellogg Co., 19 ,United States,North America,Packaged Foods,54,86,75,39,45,22,50,63
Walmart Inc., 316 ,United States,North America,Food Retail,54,80,44,38,53,57,60,44
Woolworths Group Ltd., 27 ,Australia,Australia,Food Retail,52,92,44,55,44,43,45,44
The Coca-Cola Company, 194 ,United States,North America,Soft Drinks,52,82,56,40,46,18,60,63
Coles Group Ltd., 12 ,Australia,Australia,Food Retail,46,72,38,30,56,40,45,44
The J. M. Smucker Company, 12 ,United States,North America,Packaged Foods,46,80,63,18,36,21,55,50
Wilmar International Ltd., 15 ,Singapore,Asia,Agricultural Products,45,78,56,33,31,33,30,56
PepsiCo Inc., 162 ,United States,North America,Soft Drinks,41,77,56,13,28,14,35,63
Danone SA, 49 ,France,Europe,Packaged Foods,41,67,63,18,39,18,45,38
Amazon.com Inc., 805 ,United States,North America,Food Retail,37,67,38,22,36,12,40,44
The Hershey Company, 23 ,United States,North America,Packaged Foods,35,79,69,18,14,13,30,25
Kerry Group plc, 18 ,Ireland,Europe,Packaged Foods,32,70,50,25,18,10,25,25
Chocoladefabriken Lindt & Sprüngli AG, 17 ,Switzerland,Europe,Packaged Foods,32,62,50,17,13,13,40,31
Coca-Cola European Partners plc, 22 ,United Kingdom,Europe,Soft Drinks,31,54,44,30,16,10,35,31
Mondelēz International Inc., 68 ,United States,North America,Packaged Foods,31,67,63,18,4,18,25,25
Campbell Soup Co., 11 ,United States,North America,Packaged Foods,31,72,38,9,14,22,10,50
Keurig Dr Pepper, 35 ,United States,North America,Soft Drinks,31,80,50,18,30,7,15,19
Costco Wholesale Corp., 96 ,United States,North America,Food Retail,28,52,19,9,36,18,25,38
General Mills Inc., 28 ,United States,North America,Packaged Foods,28,58,31,13,10,8,35,38
Associated British Foods plc, 24 ,United Kingdom,Europe,Packaged Foods,26,58,44,18,14,21,5,25
Monster Beverage Corp., 35 ,United States,North America,Soft Drinks,26,65,25,5,23,14,25,25
The Kroger Company, 23 ,United States,North America,Food Retail,25,58,19,13,16,7,25,38
Seven & i Holdings Co. Ltd., 39 ,Japan,Asia,Food Retail,22,56,13,21,14,0,25,25
The Kraft Heinz Company, 40 ,United States,North America,Packaged Foods,21,48,19,9,0,14,25,31
Archer-Daniels-Midland Co., 24 ,United States,North America,Agricultural Products,21,43,38,9,10,17,0,31
Carrefour SA, 16 ,France,Europe,Food Retail,21,25,44,8,0,8,40,25
Koninklijke Ahold Delhaize NV, 29 ,Netherlands,Europe,Food Retail,19,55,6,18,0,7,25,19
Aeon Co. Ltd., 18 ,Japan,Asia,Food Retail,17,45,13,4,20,0,15,25
JBS SA, 10 ,Brazil,Latin America,Packaged Foods,12,26,13,8,0,10,5,19
Hormel Foods Corp., 23 ,United States,North America,Packaged Foods,12,39,0,4,14,0,5,19
McCormick & Co. Inc., 18 ,United States,North America,Packaged Foods,11,39,13,14,4,0,10,0
Conagra Brands Inc., 11 ,United States,North America,Packaged Foods,10,47,0,9,16,0,0,0
Loblaw Companies Ltd., 19 ,Canada,North America,Food Retail,10,25,6,9,8,4,10,6
Tyson Foods Inc., 23 ,United States,North America,Packaged Foods,9,37,0,9,0,10,5,0
Suntory Beverage & Food Ltd., 14 ,Japan,Asia,Soft Drinks,8,45,0,4,0,3,0,0
Fomento Económico Mexicano S.A.B. de C.V., 33 ,Mexico,Latin America,Soft Drinks,6,30,6,0,4,3,0,0
WH Group Ltd., 13 ,Hong Kong,Asia,Packaged Foods,1,10,0,0,0,0,0,0
Inner Mongolia Yili Industrial Group Co. Ltd., 25 ,China,Asia,Packaged Foods,1,10,0,0,0,0,0,0
Almarai Co., 14 ,Saudi Arabia,Middle East,Packaged Foods,0,0,0,0,0,0,0,0
Foshan Haitian Flavouring and Food Co. Ltd., 31 ,China,Asia,Packaged Foods,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,